,Temperature
"09/07/2025, 02:45",28.9
"09/07/2025, 02:25",28.9
"09/07/2025, 02:05",29.0
"09/07/2025, 01:45",29.0
"09/07/2025, 01:25",29.0
"09/07/2025, 01:05",29.0
"09/07/2025, 00:45",29.0
"09/07/2025, 00:24",29.0
"09/07/2025, 00:04",29.0
"08/07/2025, 23:44",29.1
"08/07/2025, 23:24",29.1
"08/07/2025, 23:04",29.1
"08/07/2025, 22:44",29.1
"08/07/2025, 22:23",29.1
"08/07/2025, 22:03",29.1
"08/07/2025, 21:43",29.1
"08/07/2025, 21:23",29.1
"08/07/2025, 21:03",29.1
"08/07/2025, 20:43",29.1
"08/07/2025, 20:22",29.1
"08/07/2025, 20:02",29.2
"08/07/2025, 19:42",29.2
"08/07/2025, 19:22",29.2
"08/07/2025, 19:02",29.2
"08/07/2025, 18:42",29.2
"08/07/2025, 18:21",29.2
"08/07/2025, 18:01",29.2
"08/07/2025, 17:41",29.2
"08/07/2025, 17:21",29.2
"08/07/2025, 17:01",29.2
"08/07/2025, 16:41",29.2
"08/07/2025, 16:21",29.2
"08/07/2025, 16:00",29.2
"08/07/2025, 15:40",29.2
"08/07/2025, 15:20",29.2
"08/07/2025, 15:00",29.2
"08/07/2025, 14:40",29.2
"08/07/2025, 14:20",29.2
"08/07/2025, 13:59",29.2
"08/07/2025, 13:39",29.2
"08/07/2025, 13:19",29.2
"08/07/2025, 12:59",29.2
"08/07/2025, 12:39",29.2
"08/07/2025, 12:19",29.1
"08/07/2025, 11:58",29.1
"08/07/2025, 11:38",29.1
"08/07/2025, 11:18",29.1
"08/07/2025, 10:58",29.1
"08/07/2025, 10:38",29.1
"08/07/2025, 10:18",29.1
"08/07/2025, 09:57",29.1
"08/07/2025, 09:37",29.1
"08/07/2025, 09:17",29.1
"08/07/2025, 08:57",29.1
"08/07/2025, 08:37",29.1
"08/07/2025, 08:17",29.1
"08/07/2025, 07:57",29.1
"08/07/2025, 07:36",29.1
